

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
        0  0.000000E+00     0     0    346  346.000  0.00000E+00  Flo_Delta_t            
        1  0.316888E-09     2     1     64   40.500  0.11574E-06  Flo_Delta_t           1
        2  0.633776E-09     2     1     15   11.000  0.11574E-06  Min_Delta_t           1
        3  0.126755E-08     2     1     15   10.500  0.23148E-06  Flo_Delta_t           1
        4  0.253510E-08     2     1     15   10.000  0.46296E-06  Flo_Delta_t           1
        5  0.507021E-08     2     1     15   10.000  0.92593E-06  Flo_Delta_t           1
        6  0.101404E-07     2     1     15   10.000  0.18519E-05  Flo_Delta_t           1
        7  0.202808E-07     2     1     15   10.000  0.37037E-05  Flo_Delta_t           1
        8  0.405617E-07     2     1     15   10.000  0.74074E-05  Flo_Delta_t           1
        9  0.811233E-07     2     1     15   10.000  0.14815E-04  Flo_Delta_t           1
       10  0.162247E-06     2     1     15   10.000  0.29630E-04  Flo_Delta_t           1
       11  0.324493E-06     2     1     15   10.000  0.59259E-04  Flo_Delta_t           1
       12  0.648986E-06     2     1     15   10.000  0.11852E-03  Flo_Delta_t           1
       13  0.129797E-05     2     1     15   10.000  0.23704E-03  Flo_Delta_t           1
       14  0.259595E-05     2     1     15   10.000  0.47407E-03  Flo_Delta_t           1
       15  0.519189E-05     2     1     15   10.000  0.94815E-03  Flo_Delta_t           1
       16  0.103838E-04     2     1     15   10.000  0.18963E-02  Flo_Delta_t           1
       17  0.207676E-04     2     1     14    9.500  0.37926E-02  Flo_Delta_t           1
       18  0.342239E-04     2     1     12    8.500  0.49148E-02  Flo_Delta_t           1
       19  0.570398E-04     2     1     13    9.000  0.83333E-02  Flo_Delta_t           1
       20  0.684478E-04     2     1     10    7.500  0.41667E-02  Flo_Delta_t           1
       22  0.114080E-03     2     1     12    8.500  0.83333E-02  Flo_Delta_t           1
       24  0.171119E-03     2     1     13    7.500  0.41667E-02  Flo_Delta_t           1
       27  0.285199E-03     2     1     13    9.000  0.16667E-01  Flo_Delta_t           1
       28  0.342239E-03     2     1     12    8.000  0.20833E-01  Flo_Delta_t           1
       30  0.570398E-03     2     1     13    8.500  0.41667E-01  Flo_Delta_t           1
       31  0.684478E-03     2     1     12    8.000  0.41667E-01  Flo_Delta_t           1
       33  0.114080E-02     2     1     16   10.000  0.83333E-01  Flo_Delta_t           1
       35  0.171119E-02     2     1     17    7.500  0.41667E-01  Flo_Delta_t           1
       38  0.285199E-02     2     1     16   10.500  0.16667E+00  Flo_Delta_t           1
       39  0.342239E-02     2     1     15   11.000  0.20833E+00  Flo_Delta_t           1
       40  0.456319E-02     2     1     16   12.000  0.41667E+00  Flo_Delta_t           1
       41  0.547582E-02     2     1     15   11.000  0.33333E+00  Flo_Delta_t           1
       42  0.570398E-02     2     1      8    6.500  0.83333E-01  Flo_Delta_t           1
       45  0.821373E-02     2     1     14   11.000  0.41667E+00  Flo_Delta_t           1
       46  0.912637E-02     2     1     12    9.500  0.33333E+00  Flo_Delta_t           1
       48  0.123206E-01     2     1     14   10.000  0.50000E+00  Flo_Delta_t           1
       49  0.136896E-01     2     1     11    9.500  0.50000E+00  Flo_Delta_t           1
       50  0.164275E-01     2     1     12   10.500  0.10000E+01  Flo_Delta_t           1
       51  0.205343E-01     2     1     11   10.500  0.15000E+01  Flo_Delta_t           1
       52  0.205343E-01     2     1     11    7.500  0.11574E-06  Flo_Delta_t           1
       60  0.205345E-01     2     1     11    7.500  0.29630E-04  Flo_Delta_t           1
       70  0.207005E-01     2     1     11    7.500  0.30341E-01  Flo_Delta_t           1
       75  0.246412E-01     2     1     11    9.000  0.52910E+00  Flo_Delta_t           1
       76  0.273791E-01     2     1     10    9.500  0.10000E+01  Flo_Delta_t           1
       78  0.342239E-01     2     1     11    9.000  0.50000E+00  Flo_Delta_t           2
       80  0.410687E-01     2     1     10   10.000  0.15000E+01  Flo_Delta_t           1

  ...done!   simulation finished

